c_id,sentiment,tweet1,tweet2,org,loc,per,oth,negative,positive
0.0,Negative,2012 B.E.T hiphop awards tho&lt;&lt;&lt;&lt;&lt;&lt;,"Don't the hiphop awards only last 2 hrs tho,?",,,IAN,HIPHOP AWARDS DAMN,19,8
3.0,Positive,"Lol. Everybody talm bout the ""BET Awards"" its the HipHop awards.",!!!!!! “@WishaBtchCould: Hiphop awards b bettr than the bet awards real nggas b performingg lol”,,,,HIPHOP AWARDS,69,41
4.0,Negative,"- this nigga omarion came on stage dancing like "" all my life I Had To Fight "" iiwas like wtf is this nigga",“@iMarrriedAWhore: 😂😭😭😭😭 RT @Its_BeezyBaby: Omarion ran out on stage like nigga i aint been on stage in years nigga! Lmao!” 😂,,,"OMARION,KEYSHIA COLE'S",,46,12
5.0,Positive,Watchin Da BET Hiphop Awards,Watchin BET HipHop awards,,,,,14,6
7.0,Positive,Am i square for not watchin them awards......I've seen enough awards today lol,"I guess there's no point of being on here tonight everybody talkin abt the same thing the ""HipHop Awards""",,,,HIPHOP AWARDS,5,10
8.0,Positive,Ready to see 2 chainz dumb ass perform. Ha,I'm ready to see that n.gga 2 Chainz perform tho.,"CHAINZ,N.GGA",,I'M,,12,16
9.0,Positive,Americans win Nobel prize for chemistry: Two American scientists won the 2012 Nobel Prize for chemistry for groundbreaking work on a ...,2 US scientists win Nobel chemistry prize: Americans Robert Lefkowitz and Brian Kobilka won the 2012 Nobel Prize... ,,US,"BRIAN KOBILKA,ROBERT LEFKOWITZ","AMERICAN,NOBEL PRIZE,AMERICANS,NOBEL",42,217
12.0,Negative,Jerry Sandusky -- Put This on Your Prison Playlist: Jerry Sandusky was sentenced to spend 30-60 years in prison ... ,"Penn State Scandal Over? Jerry Sandusky Sentenced to 30-60 Years in Prison: BELLEFONTE, Pa. – The Jerry Sandusky... ","PENN STATE,NCAA NEWS","PA,BELLEFONTE","JERRY SANDUSKY,SANDUSKY",,67,37
16.0,Positive,"""@sayHItoDEIA: Kendrick Lamar just beat Jay Z, Kanye, &amp; Nas?!""righttt especially nas nd jayz","I'm not a fan of Kendrick Lamar.. how'd he beat Kanye, Jay Z, &amp; J. Cole ? Smh -.-",,,"GOD,COLE ?,KENDRICK LAMAR.,KENDRICK LAMAR,I'M,JAY Z,KANYE,COLE,SAYHITODEIA,KANYE WEST",,31,15
24.0,Positive,You aint gotta rock wit it But ya girl understand - TI,U ain't gotta rock wit it but ya girl understand #alright,TI,,,,2,5
25.0,Positive,How many chains meek mill got on??? Lol,THIS NIGGA MEEK MILL GOT BOUT 10 CHAINS,,,MEEK,UTOP,57,28
29.0,Negative,"Meek Mill Something Sexy , In My Room Acting a FOOOL &gt;&gt;&gt; #HipHopAwards",love watching Meek Mill perform and know that in less than a month there's going to be 7 rows separating us,,US,MEEK,,8,1
32.0,Negative,"Kendrick Lamar barely blew up this year and already won Lyricist of the Year,#RealHipHop #BETHipHopAwards",I wanted to see Nas take the lyricist of the year but I can't be mad with Kendrick Lamar. Dude got bars,,,KENDRICK LAMAR,,56,29
33.0,Negative,Bout time my nigga @Kendrick Lamar got some respect. Lyricist of the year.,Fuck you Kanye dick riders!!!! #HiiiPower Kendrick got lyricist of the year doe!!! TDE in this bitch,,,"KENDRICK,KENDRICK LAMAR",,16,4
36.0,Positive,Mexico says it killed top Zetas drug lord but body snatched: MEXICO CITY (Reuters) - Mexico says it has killed H... ,"Mexico says it has killed Heriberto Lazcano, the leader of the brutal Zetas drug...: Mexico says it has killed H... ",BBC NEWS,"REUTERS,MEXICO CITY,MEXICO","FELIPE CALDERON,HERIBERTO LAZCANO,LAZCANO",,30,32
46.0,Negative,"In #Pakistan, after barbaric shooting of 14-year-old activist Malala Yousafzai, 1000 tweets were sent out under #Malala -- 62% from women",World Shia Forum condemns the shooting of Malala Yousafzai – by Ali Taj: Malala was a symbol for resistance agai... ,"MALALA YOUSAFZAI,TALIBAN PE LANNAT BESHUMAR JO NA BHEJE USPE",PAKISTAN,"MALALA YOUSAFZAI,MALALA,ALI TAJ,MALIK",ENGLISH,11,15
52.0,Negative,"Merkel Gets a Hostile Reception on Greek Visit: (ATHENS, Greece) — German Chancellor Angela Merkel got a hostile... ","Merkel Sees Hope as Greeks Protest Cuts: German Chancellor Angela Merkel, making her first visit to Athens since... ",,"ATHENS,GREECE","ANGELA MERKEL,MERKEL,ZAFAR AFGHAN","GREEKS,GREEK,GERMAN",9,3
61.0,Negative,Watching Keyshia &amp; Daniel ( &amp;&amp; I Love It Already),Keyshia Cole &amp;&amp; Daniel Family First 💜💕,KEYSHIA COLE &AMP;&AMP,,"DANIEL,KEYSHIA COLE",,85,237
63.0,Negative,"Smh sad RT Jerry Sandusky delivers one final hateful, haunting response to his victims - Yahoo! Sports ","Jerry Sandusky delivers one final hateful, haunting response to his victims - Yahoo! Sports #sickbastard #karmasabitch","SMH,KARMASABITCH,YAHOO!",,JERRY SANDUSKY,,2,4
71.0,Negative,"Malala Yousafzai, Teenage School Activist, Survives Taliban Attack: Malala Yousafzai, 14, a symbol of defiance and an advocate for th...","Yup. Taliban, still the scum of the earth. Malala Yousafzai, Teenage School Activist, Survives Taliban Attack ",,,MALALA YOUSAFZAI,"TEENAGE,TALIBAN,PAKISTANI",33,10
73.0,Negative,Syrian rebels claim control of strategic town - Middle East - Al Jazeera English … via @ajenglish via @Sannri,Syrian rebels claim control of strategic town - Middle East - Al Jazeera English via @ajenglish,"AJENGLISH,AJENGLISH VIA,SANNRI,MAARAT,AL JAZEERA,ALJAZEERA",MIDDLE EAST,,"SYRIAN,ENGLISH",7,0
74.0,Negative,Lmao @ nice fat RT @mustbemie: Fat Joe is a nice fat now. Like a fat where his stomach don't cover his dick.,Chubby Joe RT @_HotHoneyQuisa: Fat Joe ain't even fat Joe no more,,,"JOE NOTT,JOE WHOLE",,213,18
75.0,Positive,Profiles in Barbarism: Taliban Gunmen Shoot 14 Year Old Girl in the Head via @thedailybeast,Taliban Gunmen Shoot 14-year-old Girl Activist: A Taliban gunman has shot and seriously injured a 14-year-old girl... ,,,,TALIBAN,1,8
76.0,Negative,#fat joe lose all a di weight n give #rick Ross lol,Damn fat joe must done like a billion LEAN BACKS to lose all that weight #hiphopawards,,,"RICK ROSS CYAA,RICK ROSS,JOE",,11,1
